,ts,device_id,type,subtype,to_ds,from_ds,flags,duration_id,sequence_ctrl,addr1,addr2,addr3,addr4,rssi,channel,payload_size,payload
0,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12320,"""35421a8b4c93a349361c390c9e10f2a8faa30641dfa8fdaeaf58cc11ea50f2ad""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""9ad78aebdbbff44a53e9c94d2cd5c2782593fd05f3814b65e6367fb5b0ed6520""",-85,6,204,
1,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12320,"""35421a8b4c93a349361c390c9e10f2a8faa30641dfa8fdaeaf58cc11ea50f2ad""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""8034ab62303ccf3ebdc616d5de8d32f76b55b7d3eb26fa4184a0a2320142b950""",-85,6,204,
2,1654884230,dev-6sdvl6005smx,0,4,0,0,0,0,1104,"""FF:FF:FF:FF:FF:FF""","""35421a8b4c93a349361c390c9e10f2a8faa30641dfa8fdaeaf58cc11ea50f2ad""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-80,6,120,
3,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12336,"""35421a8b4c93a349361c390c9e10f2a8faa30641dfa8fdaeaf58cc11ea50f2ad""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""99ebc48441ab572335d13ecef9bf272aa752c9b9a90cb529b1911d7e0fdc93f9""",-85,6,204,
4,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12336,"""35421a8b4c93a349361c390c9e10f2a8faa30641dfa8fdaeaf58cc11ea50f2ad""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""25f60808a68099668557ae685c0ac0eeac79bedf1c923a851bd2beb0599e2a83""",-86,6,204,
5,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12352,"""74b23e68a826699ae5a96a273ed08f00a60550032a698c37f375caa66a7a2b68""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""aeea831df2e34eb9943de8c0f6ae0a0a15d4beb3a6b97ac0dad67836063e25f5""",-85,6,204,
6,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12352,"""74b23e68a826699ae5a96a273ed08f00a60550032a698c37f375caa66a7a2b68""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""5b904c247ab36b9c9a5452dae31f64099dc97e239fb4b65442c7eae1be318063""",-85,6,204,
7,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12352,"""74b23e68a826699ae5a96a273ed08f00a60550032a698c37f375caa66a7a2b68""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""e2d0082f4e4df6f5c24f1e767abfb63f6a9e80741a61132afa66ce16509a9629""",-85,6,204,
8,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12368,"""74b23e68a826699ae5a96a273ed08f00a60550032a698c37f375caa66a7a2b68""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""daacd1d34b299f64feef45a87c6c7e6febb6e4d4f36f027961737ebc097ad673""",-86,6,204,
9,1654884230,dev-6sdvl6005smx,0,5,0,0,2,48,12368,"""74b23e68a826699ae5a96a273ed08f00a60550032a698c37f375caa66a7a2b68""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""e938204ed919e116b9dd39672a5f55f3da1048275a91f8c00ab120da390f1b8e""",-87,6,204,
